iter	Passed	Remaining
0	0	97
1	1	93
2	2	89
3	3	82
4	4	81
5	5	79
6	5	78
7	6	76
8	7	74
9	8	73
10	8	71
11	9	73
12	10	73
13	12	75
14	13	73
15	13	73
16	14	71
17	15	70
18	16	69
19	16	67
20	17	67
21	18	65
22	19	64
23	20	64
24	21	63
25	21	62
26	22	61
27	24	61
28	24	60
29	25	59
30	26	58
31	27	57
32	27	55
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	33	49
40	33	48
41	34	47
42	34	46
43	35	45
44	36	44
45	37	43
46	38	42
47	38	42
48	39	41
49	40	40
50	40	39
51	41	38
52	42	37
53	42	36
54	43	35
55	44	34
56	44	33
57	45	33
58	46	32
59	47	31
60	48	30
61	49	30
62	49	29
63	50	28
64	51	27
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	23
71	57	22
72	58	21
73	59	20
74	60	20
75	60	19
76	61	18
77	62	17
78	63	16
79	64	16
80	66	15
81	67	14
82	67	13
83	68	13
84	69	12
85	69	11
86	70	10
87	71	9
88	72	8
89	73	8
90	74	7
91	74	6
92	75	5
93	76	4
94	76	4
95	77	3
96	78	2
97	79	1
98	80	0
99	80	0
