iter	Passed	Remaining
0	134	134735
1	138	69236
2	140	46640
3	141	35331
4	143	28598
5	144	24005
6	146	20767
7	147	18300
8	149	16487
9	152	15076
10	153	13791
11	154	12735
12	155	11824
13	156	11047
14	158	10396
15	159	9816
16	160	9294
17	163	8896
18	164	8504
19	166	8136
20	167	7808
21	168	7508
22	170	7229
23	171	6974
24	172	6742
25	174	6520
26	174	6304
27	176	6123
28	178	5966
29	180	5826
30	181	5675
31	182	5525
32	184	5392
33	185	5264
34	186	5140
35	187	5017
36	188	4912
37	190	4813
38	192	4738
39	193	4652
40	195	4570
41	196	4480
42	197	4397
43	198	4316
44	199	4239
45	200	4165
46	201	4091
47	202	4020
48	204	3977
49	206	3928
50	208	3870
51	209	3818
52	210	3761
53	211	3709
54	212	3654
55	214	3608
56	215	3557
57	216	3508
58	217	3471
59	219	3437
60	220	3398
61	221	3358
62	222	3316
63	224	3277
64	225	3238
65	226	3200
66	227	3166
67	228	3133
68	229	3101
69	230	3066
70	231	3032
71	233	3007
72	234	2982
73	236	2955
74	237	2927
75	239	2913
76	240	2887
77	241	2859
78	242	2832
79	244	2806
80	245	2781
81	246	2760
82	247	2736
83	249	2718
84	250	2695
85	251	2671
86	252	2648
87	253	2627
88	254	2607
89	255	2587
90	257	2567
91	258	2548
92	259	2530
93	276	2662
94	278	2656
95	281	2650
96	283	2639
97	285	2623
98	286	2610
99	288	2599
100	291	2593
101	294	2589
102	296	2578
103	297	2564
104	299	2555
105	301	2538
106	302	2524
107	304	2512
108	306	2503
109	307	2487
110	308	2471
111	310	2458
112	311	2443
113	312	2430
114	314	2417
115	315	2404
116	316	2388
117	317	2376
118	319	2368
119	321	2355
120	322	2342
121	323	2326
122	324	2313
123	325	2300
124	326	2287
125	328	2275
126	329	2261
127	330	2250
128	331	2238
129	332	2227
130	334	2218
131	335	2206
132	336	2195
133	337	2183
134	338	2171
135	340	2161
136	341	2150
137	342	2138
138	343	2127
139	345	2119
140	346	2110
141	347	2102
142	350	2098
143	352	2092
144	353	2087
145	355	2080
146	356	2071
147	357	2060
148	359	2053
149	360	2043
150	362	2038
151	364	2032
152	365	2023
153	366	2014
154	367	2005
155	369	1996
156	370	1987
157	371	1979
158	372	1972
159	374	1964
160	374	1953
161	376	1949
162	378	1941
163	379	1934
164	380	1926
165	382	1920
166	383	1912
167	384	1905
168	385	1897
169	386	1888
170	388	1881
171	389	1873
172	390	1867
173	392	1863
174	394	1857
175	395	1851
176	396	1844
177	397	1837
178	398	1829
179	400	1822
180	401	1815
181	402	1807
182	403	1800
183	404	1795
184	406	1790
185	407	1783
186	408	1777
187	409	1770
188	411	1764
189	412	1758
190	413	1751
191	414	1745
192	415	1738
193	416	1731
194	418	1727
195	420	1723
196	421	1718
197	422	1711
198	423	1705
199	424	1699
200	426	1693
201	427	1687
202	428	1681
203	429	1675
204	430	1669
205	431	1663
206	432	1657
207	434	1654
208	435	1649
209	436	1643
210	438	1637
211	439	1632
212	440	1627
213	441	1621
214	442	1614
215	443	1608
216	444	1602
217	445	1597
218	446	1593
219	448	1590
220	450	1588
221	451	1583
222	452	1578
223	454	1574
224	455	1570
225	457	1566
226	458	1561
227	459	1556
228	460	1551
229	462	1547
230	464	1545
231	466	1542
232	467	1539
233	468	1534
234	470	1530
235	471	1525
236	472	1520
237	473	1515
238	474	1510
239	475	1506
240	476	1501
241	478	1499
242	479	1495
243	481	1490
244	481	1485
245	482	1479
246	483	1475
247	484	1470
248	485	1465
249	486	1460
250	487	1455
251	488	1451
252	490	1446
253	491	1442
254	493	1440
255	494	1437
256	495	1433
257	497	1429
258	498	1425
259	499	1420
260	500	1416
261	501	1412
262	502	1408
263	503	1404
264	504	1399
265	506	1396
266	508	1395
267	509	1391
268	510	1387
269	511	1383
270	512	1379
271	513	1375
272	514	1371
273	516	1367
274	517	1363
275	518	1359
276	519	1355
277	521	1354
278	524	1354
279	526	1352
280	527	1350
281	529	1347
282	530	1344
283	531	1340
284	533	1337
285	534	1333
286	535	1330
287	537	1328
288	538	1324
289	539	1321
290	540	1317
291	542	1314
292	543	1310
293	544	1306
294	545	1303
295	546	1299
296	547	1295
297	548	1292
298	549	1288
299	550	1285
300	551	1281
301	553	1279
302	554	1276
303	556	1273
304	557	1270
305	558	1266
306	559	1263
307	560	1259
308	561	1255
309	562	1252
310	563	1248
311	564	1244
312	565	1242
313	567	1239
314	568	1235
315	569	1232
316	570	1229
317	571	1226
318	572	1222
319	573	1219
320	574	1215
321	575	1212
322	576	1208
323	577	1205
324	578	1202
325	579	1198
326	581	1196
327	582	1193
328	583	1190
329	584	1186
330	585	1183
331	586	1179
332	587	1176
333	588	1172
334	589	1169
335	590	1166
336	591	1162
337	592	1159
338	593	1156
339	593	1152
340	595	1151
341	597	1149
342	598	1146
343	599	1143
344	600	1140
345	602	1137
346	603	1135
347	604	1132
348	605	1129
349	606	1126
350	607	1122
351	608	1120
352	609	1117
353	611	1115
354	612	1113
355	613	1110
356	614	1107
357	615	1104
358	616	1101
359	617	1098
360	618	1095
361	619	1092
362	620	1089
363	621	1086
364	622	1083
365	623	1080
366	624	1077
367	626	1075
368	627	1072
369	628	1070
370	629	1067
371	630	1064
372	631	1061
373	632	1058
374	633	1055
375	634	1052
376	635	1050
377	636	1047
378	638	1045
379	639	1042
380	640	1040
381	641	1038
382	643	1036
383	644	1034
384	645	1031
385	646	1029
386	648	1026
387	649	1023
388	649	1020
389	650	1017
390	651	1015
391	652	1012
392	653	1009
393	655	1007
394	656	1006
395	657	1003
396	659	1001
397	660	999
398	661	997
399	663	995
400	664	992
401	665	990
402	666	987
403	667	984
404	668	982
405	669	979
406	671	978
407	672	976
408	674	974
409	675	971
410	676	968
411	677	966
412	678	963
413	679	961
414	680	958
415	680	956
416	681	953
417	682	950
418	683	948
419	684	945
420	686	944
421	687	941
422	688	939
423	689	936
424	690	934
425	691	932
426	692	929
427	693	927
428	694	924
429	695	922
430	696	919
431	697	917
432	698	915
433	700	914
434	702	911
435	703	909
436	704	907
437	705	904
438	706	902
439	707	900
440	708	897
441	709	895
442	710	892
443	711	890
444	712	888
445	715	888
446	718	888
447	719	886
448	720	884
449	722	882
450	723	880
451	724	878
452	725	876
453	727	874
454	729	873
455	731	872
456	733	871
457	734	869
458	736	868
459	737	866
460	739	864
461	740	862
462	742	860
463	744	859
464	745	858
465	748	857
466	750	856
467	751	854
468	752	852
469	753	850
470	755	848
471	756	845
472	757	844
473	759	842
474	760	840
475	761	838
476	762	836
477	763	834
478	765	832
479	766	830
480	767	828
481	768	826
482	769	823
483	771	821
484	773	820
485	774	819
486	775	817
487	777	815
488	778	813
489	779	811
490	780	809
491	781	807
492	782	805
493	784	803
494	785	801
495	786	798
496	787	797
497	788	795
498	790	793
499	791	791
500	793	789
501	794	788
502	795	785
503	796	783
504	797	781
505	798	779
506	799	777
507	800	775
508	801	773
509	803	771
510	804	769
511	805	767
512	806	765
513	807	763
514	809	761
515	810	759
516	810	757
517	812	755
518	813	753
519	814	752
520	815	750
521	818	749
522	819	747
523	820	745
524	822	743
525	823	741
526	824	740
527	825	738
528	827	736
529	828	734
530	829	732
531	831	731
532	832	729
533	834	728
534	836	726
535	837	724
536	838	723
537	840	721
538	841	719
539	842	717
540	843	715
541	845	714
542	847	712
543	848	711
544	850	709
545	851	707
546	853	706
547	854	704
548	855	702
549	856	700
550	857	698
551	859	697
552	860	695
553	862	694
554	864	693
555	866	691
556	868	690
557	870	689
558	871	687
559	872	685
560	874	684
561	876	683
562	878	681
563	879	679
564	880	677
565	882	676
566	883	674
567	884	672
568	886	671
569	887	669
570	889	668
571	891	666
572	893	665
573	894	663
574	895	661
575	897	660
576	898	659
577	900	657
578	901	655
579	902	653
580	905	652
581	907	651
582	908	649
583	909	648
584	910	646
585	912	644
586	913	642
587	914	641
588	916	639
589	918	638
590	920	636
591	921	635
592	923	633
593	925	632
594	926	630
595	927	628
596	928	626
597	929	625
598	931	623
599	933	622
600	935	620
601	936	618
602	937	617
603	938	615
604	940	613
605	941	612
606	942	610
607	943	608
608	945	607
609	947	605
610	949	604
611	950	602
612	952	601
613	953	599
614	955	598
615	957	596
616	958	594
617	959	593
618	961	591
619	963	590
620	964	588
621	966	587
622	967	585
623	969	584
624	970	582
625	971	580
626	972	578
627	974	577
628	977	576
629	978	574
630	979	573
631	981	571
632	983	570
633	984	568
634	985	566
635	986	564
636	987	562
637	989	561
638	991	560
639	992	558
640	994	556
641	995	555
642	996	553
643	998	551
644	999	549
645	1000	547
646	1001	546
647	1002	544
648	1004	543
649	1005	541
650	1007	540
651	1008	538
652	1010	536
653	1011	535
654	1013	533
655	1015	532
656	1016	530
657	1018	529
658	1020	528
659	1022	526
660	1023	524
661	1025	523
662	1026	521
663	1027	519
664	1028	518
665	1030	516
666	1032	515
667	1034	514
668	1036	512
669	1037	511
670	1038	509
671	1039	507
672	1040	505
673	1042	504
674	1043	502
675	1044	500
676	1046	499
677	1048	497
678	1049	496
679	1050	494
680	1052	493
681	1053	491
682	1055	489
683	1056	488
684	1057	486
685	1059	484
686	1061	483
687	1063	482
688	1064	480
689	1066	479
690	1067	477
691	1069	475
692	1070	474
693	1071	472
694	1072	470
695	1074	469
696	1076	467
697	1077	466
698	1078	464
699	1079	462
700	1081	461
701	1082	459
702	1083	457
703	1084	455
704	1085	454
705	1086	452
706	1087	450
707	1089	449
708	1090	447
709	1091	445
710	1092	443
711	1093	442
712	1094	440
713	1095	438
714	1096	437
715	1097	435
716	1098	433
717	1099	431
718	1100	430
719	1102	428
720	1103	427
721	1105	425
722	1106	423
723	1107	422
724	1109	420
725	1111	419
726	1112	417
727	1113	416
728	1114	414
729	1115	412
730	1116	410
731	1118	409
732	1119	407
733	1120	405
734	1121	404
735	1122	402
736	1123	400
737	1124	399
738	1125	397
739	1126	395
740	1127	393
741	1128	392
